의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2116235,21,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,강대식의원 등 11인,강대식,"김병욱,김상훈,배준영,송언석,유경준,유의동,이만희,이명수,조수진,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2N2R0S6I2Q0D1S3O1A7X5D3N9D7M8&ageFrom=21&ageTo=21,여성가족위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2N2R0S6I2Q0D1S3O1A7X5D3N9D7M8
2116234,21,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,강대식의원등10인,강대식,"김병욱,김승수,배준영,유경준,유의동,이명수,정희용,조수진,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2Y2Y0C6R0K8O1R7Y4G9B4T5F1T1K0&ageFrom=21&ageTo=21,환경노동위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2Y2Y0C6R0K8O1R7Y4G9B4T5F1T1K0
2116233,21,양성평등기본법 일부개정법률안,강대식의원 등 12인,강대식,"김병욱,김상훈,김승수,배준영,송언석,유경준,유의동,이만희,이명수,조수진,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2D2P0G6R2Y0I1M3N1Z9P1O8Q9Q8J0&ageFrom=21&ageTo=21,여성가족위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2D2P0G6R2Y0I1M3N1Z9P1O8Q9Q8J0
2116232,21,여수ㆍ순천 10ㆍ19사건 진상규명 및 희생자 명예회복에 관한 특별법 일부개정법률안,소병철의원 등 10인,소병철,"김승남,김정호,김회재,서동용,이수진,이용선,정일영,주철현,한준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2X2U0W6Y2U0P1Q7H5Q1P4J1N2U4G4&ageFrom=21&ageTo=21,행정안전위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2X2U0W6Y2U0P1Q7H5Q1P4J1N2U4G4
2116231,21,조세특례제한법 일부개정법률안,정우택의원등11인,정우택,"김학용,서정숙,이양수,이종성,정운천,정희용,조명희,지성호,최승재,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2O2Q0Z6S0V8C0G9I4J7J4G6Z3F8Z0&ageFrom=21&ageTo=21,기획재정위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2O2Q0Z6S0V8C0G9I4J7J4G6Z3F8Z0
2116230,21,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안,윤영덕의원 등 12인,윤영덕,"권인숙,문진석,민형배,서삼석,송갑석,양향자,위성곤,이병훈,이용빈,이형석,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2R2F0A6A2N4P1K0H3L6T4K5K8K3N3&ageFrom=21&ageTo=21,교육위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Y2R2F0A6A2N4P1K0H3L6T4K5K8K3N3
2116229,21,조세범 처벌절차법 일부개정법률안,양경숙의원 등 12인,양경숙,"강득구,강준현,김두관,박영순,용혜인,이동주,이병훈,이수진,정성호,정일영,최기상",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2P2V0Q5C0O9W1G6D4L2G0P5I7S2I0&ageFrom=21&ageTo=21,기획재정위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2P2V0Q5C0O9W1G6D4L2G0P5I7S2I0
2116228,21,화물자동차 운수사업법 일부개정법률안,최인호의원 등 13인,최인호,"김성환,맹성규,문정복,박상혁,박영순,박홍근,소병훈,이소영,이수진,조오섭,진성준,천준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2B2S0B6R2U7Y1V6X2J9Y0D8N8U1Z1&ageFrom=21&ageTo=21,민생경제안정특별위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2B2S0B6R2U7Y1V6X2J9Y0D8N8U1Z1
2116227,21,주택법 일부개정법률안,조오섭의원 등 13인,조오섭,"김상희,문진석,민형배,송갑석,양향자,윤영덕,이동주,이용빈,전용기,주철현,최기상,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2Y2X0W6X1O3D1Y9N3C7F2O4C1C9C9&ageFrom=21&ageTo=21,국토교통위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2Y2X0W6X1O3D1Y9N3C7F2O4C1C9C9
2116226,21,공직선거법 일부개정법률안,권칠승의원 등 10인,권칠승,"김상희,김승남,김회재,민병덕,박광온,소병훈,이장섭,임종성,임호선",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2M2R0H6B1A6K1T1F0I5D1Q0R9N1Q1&ageFrom=21&ageTo=21,행정안전위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2M2R0H6B1A6K1T1F0I5D1Q0R9N1Q1
